pos	count

0	412929
1	2850
2	1730
3	1752
4	1753
5	1945
6	13130
7	153163
8	2298
9	2820
10	2686
11	3626
12	4476
13	5824
14	6693
15	7189
16	9035
17	13526
18	34185
19	11691
20	13094
21	10784
22	10993
23	10941
24	12356
25	16398
26	12429
27	12666
28	13392
29	13902
30	14683
31	15520
32	17443
33	19097
34	20377
35	20824
36	21391
37	20871
38	20402
39	20056
40	19846
41	20036
42	19942
43	20291
44	19974
45	19410
46	19473
47	18816
48	18076
49	18151
50	18000
51	17596
52	17708
53	17384
54	16959
55	16888
56	16528
57	16348
58	15983
59	15357
60	15189
61	14728
62	14441
63	14154
64	13805
65	13510
66	13001
67	12537
68	12131
69	11803
70	11747
71	11369
72	11026
73	10521
74	10299
75	9953
76	9689
77	9253
78	9172
79	8631
80	8529
81	8097
82	7980
83	7514
84	7316
85	6966
86	6837
87	6550
88	6336
89	6013
90	5907
91	5695
92	5393
93	5059
94	4920
95	4859
96	4680
97	4589
98	4255
99	4138
100	4067
101	3899
102	3761
103	3708
104	3449
105	3474
106	3146
107	3119
108	2971
109	2871
110	2812
111	2494
112	2523
113	2367
114	2249
115	2200
116	2085
117	2076
118	2078
119	1870
120	1833
121	1699
122	1704
123	1601
124	1510
125	1580
126	1424
127	1398
128	1252
129	1254
130	1216
131	1180
132	1152
133	1073
134	1089
135	961
136	931
137	1032
138	919
139	905
140	847
