pos	count

0	149487
1	300
2	746
3	385
4	747
5	1178
6	1486
7	1143
8	589
9	1365
10	5455
11	25423
12	3084
13	4665
14	2269
15	2009
16	1757
17	2857
18	6799
19	2539
20	2979
21	3992
22	4487
23	5579
24	6516
25	8096
26	9953
27	10871
28	11668
29	12186
30	11446
31	11133
32	11071
33	10840
34	11183
35	11337
36	11817
37	11588
38	11179
39	11318
40	10656
41	10424
42	10294
43	10222
44	9922
45	10278
46	10132
47	9925
48	9889
49	9754
50	9568
51	9139
52	9027
53	8927
54	8679
55	8283
56	8388
57	8067
58	7965
59	7580
60	7468
61	7205
62	7046
63	6871
64	6548
65	6421
66	6081
67	5885
68	5851
69	5714
70	5319
71	5267
72	4980
73	4895
74	4619
75	4471
76	4197
77	4107
78	3929
79	3677
80	3528
81	3474
82	3182
83	3193
84	3056
85	2954
86	2738
87	2571
88	2574
89	2436
90	2443
91	2141
92	2186
93	2068
94	1972
95	1884
96	1820
97	1736
98	1665
99	1537
100	1519
101	1457
102	1369
103	1308
104	1140
105	1202
106	1055
107	1044
108	1032
109	930
110	888
111	921
112	802
113	813
114	726
115	730
116	651
117	633
118	639
119	566
120	563
121	470
122	485
123	499
124	430
125	423
126	394
127	384
128	352
129	357
130	406
131	344
132	295
133	288
